<<<<<<< HEAD
Mul_2/x 7624 7664
Mul_188/x 7666 7711
bert/encoder/layer_1/intermediate/dense/bias/adam_v 7714 7730
Mul_189/x 7732 7775
ConstantFolding/gradients/bert/embeddings/LayerNorm/batchnorm/mul_grad/BroadcastGradientArgs-bcastargs-0 7778 7794
gradients/bert/embeddings/LayerNorm/batchnorm/add_grad/Shape 7797 7805
gradients/bert/embeddings/LayerNorm/moments/variance_grad/floordiv 7808 7824
ConstantFolding/gradients/bert/embeddings/LayerNorm/batchnorm/sub_grad/BroadcastGradientArgs-bcastargs-0 7826 7861
gradients/bert/encoder/layer_0/intermediate/dense/Erf_grad/mul 7864 7877
global_norm/Const_1 7879 7891
PolynomialDecay/sub_1/x 7894 7906
gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/add_grad/Shape 7909 7937
gradients/bert/pooler/Squeeze_grad/Shape 7940 7952
gradients/Reshape_2_grad/Reshape/strided_slice 7954 7961
gradients/bert/embeddings/LayerNorm/moments/variance_grad/truediv 7963 7978
ConstantFolding/gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/mul_grad/BroadcastGradientArgs-bcastargs-0 7980 8023
gradients/bert/encoder/layer_0/attention/output/LayerNorm/moments/variance_grad/floordiv 8025 8042
ConstantFolding/gradients/bert/embeddings/LayerNorm/moments/variance_grad/truediv_recip 8044 8062
ConstantFolding/gradients/bert/encoder/layer_0/attention/output/LayerNorm/batchnorm/sub_grad/BroadcastGradientArgs-bcastargs-0 8064 8083
cls/predictions/add/y 8085 8093
gradients/GatherV2_grad/ExpandDims 8165 8188
gradients/cls/predictions/transform/LayerNorm/batchnorm/add_grad/Shape 8191 8199
gradients/cls/predictions/Sum_grad/floordiv 8201 8214
Mul_2/strided_slice 8216 8223
cls/predictions/transform/LayerNorm/beta 8226 8238
Reshape 8240 8252
gradients/concat_1/axis 8255 8262
cls/predictions/transform/dense/kernel 8264 8274
cls/predictions/transform/dense/bias 8291 8301
cls/predictions/transform/LayerNorm/gamma 8304 8313
cls/predictions/output_bias 8315 8329
gradients/cls/seq_relationship/Sum_grad/Tile 8331 8340
gradients/bert/encoder/layer_0/attention/self/Softmax_grad/Sum/reduction_indices 8342 8355
bert/encoder/layer_11/output/LayerNorm/beta 8357 8387
bert/encoder/layer_11/intermediate/dense/kernel 8389 8401
bert/encoder/layer_11/intermediate/dense/bias 8403 8420
bert/encoder/layer_11/output/dense/kernel 8423 8432
bert/encoder/layer_11/output/dense/bias 8435 8445
bert/encoder/layer_11/attention/output/LayerNorm/beta 8447 8460
bert/encoder/layer_11/attention/self/query/kernel 8463 8472
bert/encoder/layer_11/attention/self/query/bias 8474 8488
bert/encoder/layer_11/attention/self/key/kernel 8490 8500
bert/encoder/layer_11/attention/self/key/bias 8502 8511
bert/encoder/layer_11/attention/self/value/kernel 8514 8527
bert/encoder/layer_11/attention/self/value/bias 8529 8538
bert/encoder/layer_11/attention/output/dense/kernel 8540 8550
bert/encoder/layer_11/attention/output/dense/bias 8556 8567
bert/encoder/layer_10/output/LayerNorm/beta 8569 8578
bert/encoder/layer_10/intermediate/dense/kernel 8580 8593
bert/encoder/layer_10/intermediate/dense/bias 8595 8604
bert/encoder/layer_10/output/dense/kernel 8607 8616
bert/encoder/layer_10/output/dense/bias 8622 8636
bert/encoder/layer_10/attention/output/LayerNorm/beta 8638 8647
bert/encoder/layer_10/attention/self/query/kernel 8649 8663
bert/encoder/layer_10/attention/self/query/bias 8665 8675
bert/encoder/layer_10/attention/self/key/kernel 8677 8688
bert/encoder/layer_10/attention/self/key/bias 8694 8703
bert/encoder/layer_10/attention/self/value/kernel 8706 8715
bert/encoder/layer_10/attention/self/value/bias 8717 8731
bert/encoder/layer_10/attention/output/dense/kernel 8733 8743
bert/encoder/layer_10/attention/output/dense/bias 8745 8755
bert/encoder/layer_9/output/LayerNorm/beta 8760 8770
bert/encoder/layer_9/intermediate/dense/kernel 8773 8783
bert/encoder/layer_9/intermediate/dense/bias 8785 8799
bert/encoder/layer_9/output/dense/kernel 8802 8811
bert/encoder/layer_9/output/dense/bias 8814 8823
bert/encoder/layer_9/attention/output/LayerNorm/beta 8825 8838
bert/encoder/layer_9/attention/self/query/kernel 8840 8849
bert/encoder/layer_9/attention/self/query/bias 8852 8882
bert/encoder/layer_9/attention/self/key/kernel 8885 8897
bert/encoder/layer_9/attention/self/key/bias 8899 8908
bert/encoder/layer_9/attention/self/value/kernel 8911 9195
bert/encoder/layer_9/attention/self/value/bias 9201 9214
bert/encoder/layer_9/attention/output/dense/kernel 9216 9232
bert/encoder/layer_9/attention/output/dense/bias 9235 9245
bert/encoder/layer_8/output/LayerNorm/beta 9247 9257
bert/encoder/layer_8/intermediate/dense/kernel 9260 9273
bert/encoder/layer_8/intermediate/dense/bias 9276 9285
bert/encoder/layer_8/output/dense/kernel 9287 9297
bert/encoder/layer_8/output/dense/bias 9358 9388
bert/encoder/layer_8/attention/output/LayerNorm/beta 9393 9403
bert/encoder/layer_8/attention/self/query/kernel 9406 9422
bert/encoder/layer_8/attention/self/query/bias 9425 9434
bert/encoder/layer_8/attention/self/key/kernel 9437 9446
bert/encoder/layer_8/attention/self/key/bias 9452 9462
bert/encoder/layer_8/attention/self/value/kernel 9464 9474
bert/encoder/layer_8/attention/self/value/bias 9476 9489
bert/encoder/layer_8/attention/output/dense/kernel 9491 9501
bert/encoder/layer_8/attention/output/dense/bias 9503 9512
bert/encoder/layer_7/output/LayerNorm/beta 9518 9528
bert/encoder/layer_7/intermediate/dense/kernel 9530 9540
bert/encoder/layer_7/intermediate/dense/bias 9542 9557
bert/encoder/layer_7/output/dense/kernel 9559 9569
bert/encoder/layer_7/output/dense/bias 9581 9591
bert/encoder/layer_7/attention/output/LayerNorm/beta 9594 9604
bert/encoder/layer_7/attention/self/query/kernel 9606 9616
bert/encoder/layer_7/attention/self/query/bias 9619 9633
bert/encoder/layer_7/attention/self/key/kernel 9636 9645
bert/encoder/layer_7/attention/self/key/bias 9648 9657
bert/encoder/layer_7/attention/self/value/kernel 9659 9672
bert/encoder/layer_7/attention/self/value/bias 9675 9684
bert/encoder/layer_7/attention/output/dense/kernel 9687 9703
bert/encoder/layer_7/attention/output/dense/bias 9705 9715
bert/encoder/layer_6/output/LayerNorm/beta 9717 9726
bert/encoder/layer_6/intermediate/dense/kernel 9728 9741
bert/encoder/layer_6/intermediate/dense/bias 9745 9753
bert/encoder/layer_6/output/dense/kernel 9756 9768
bert/encoder/layer_6/output/dense/bias 9770 9780
bert/encoder/layer_6/attention/output/LayerNorm/beta 9782 9791
bert/encoder/layer_6/attention/self/query/kernel 9793 9806
bert/encoder/layer_6/attention/self/query/bias 9809 9817
bert/encoder/layer_6/attention/self/key/kernel 9819 9829
bert/encoder/layer_6/attention/self/key/bias 9837 9846
bert/encoder/layer_6/attention/self/value/kernel 9848 9857
bert/encoder/layer_6/attention/self/value/bias 9859 9872
bert/encoder/layer_6/attention/output/dense/kernel 9875 9884
bert/encoder/layer_6/attention/output/dense/bias 9886 9895
bert/encoder/layer_5/output/LayerNorm/beta 9901 9910
bert/encoder/layer_5/intermediate/dense/kernel 9912 9921
bert/encoder/layer_5/intermediate/dense/bias 9923 9938
bert/encoder/layer_5/output/dense/kernel 9940 9953
bert/encoder/layer_5/output/dense/bias 9956 9964
bert/encoder/layer_5/attention/output/LayerNorm/beta 9968 9980
bert/encoder/layer_5/attention/self/query/kernel 9982 9991
bert/encoder/layer_5/attention/self/query/bias 9994 10007
bert/encoder/layer_5/attention/self/key/kernel 10009 10020
bert/encoder/layer_5/attention/self/key/bias 10023 10032
bert/encoder/layer_5/attention/self/value/kernel 10034 10047
bert/encoder/layer_5/attention/self/value/bias 10049 10057
bert/encoder/layer_5/attention/output/dense/kernel 10060 10073
bert/encoder/layer_5/attention/output/dense/bias 10076 10086
bert/encoder/layer_4/output/LayerNorm/beta 10089 10097
bert/encoder/layer_4/intermediate/dense/kernel 10099 10113
bert/encoder/layer_4/intermediate/dense/bias 10115 10124
bert/encoder/layer_4/output/dense/kernel 10127 10139
bert/encoder/layer_4/output/dense/bias 10142 10151
bert/encoder/layer_4/attention/output/LayerNorm/beta 10153 10164
bert/encoder/layer_4/attention/self/query/kernel 10166 10179
bert/encoder/layer_4/attention/self/query/bias 10181 10190
bert/encoder/layer_4/attention/self/key/kernel 10192 10202
bert/encoder/layer_4/attention/self/key/bias 10208 10217
bert/encoder/layer_4/attention/self/value/kernel 10219 10227
bert/encoder/layer_4/attention/self/value/bias 10230 10243
bert/encoder/layer_4/attention/output/dense/kernel 10245 10254
bert/encoder/layer_4/attention/output/dense/bias 10259 10268
bert/encoder/layer_3/output/LayerNorm/beta 10275 10284
bert/encoder/layer_3/intermediate/dense/kernel 10286 10295
bert/encoder/layer_3/intermediate/dense/bias 10299 10547
bert/encoder/layer_3/output/dense/kernel 10552 10568
bert/encoder/layer_3/output/dense/bias 10570 10580
bert/encoder/layer_3/attention/output/LayerNorm/beta 10593 10603
bert/encoder/layer_3/attention/self/query/kernel 10605 10615
bert/encoder/layer_3/attention/self/query/bias 10617 10670
bert/encoder/layer_3/attention/self/key/kernel 10676 10694
bert/encoder/layer_3/attention/self/key/bias 10697 10707
bert/encoder/layer_3/attention/self/value/kernel 10709 10725
bert/encoder/layer_3/attention/self/value/bias 10727 10736
bert/encoder/layer_3/attention/output/dense/kernel 10738 10753
bert/encoder/layer_3/attention/output/dense/bias 10756 10765
bert/encoder/layer_2/output/LayerNorm/beta 10767 10777
bert/encoder/layer_2/intermediate/dense/kernel 10779 10792
bert/encoder/layer_2/intermediate/dense/bias 10794 10804
bert/encoder/layer_2/output/dense/kernel 10806 10819
bert/encoder/layer_2/output/dense/bias 10822 10831
bert/encoder/layer_2/attention/output/LayerNorm/beta 10833 10843
bert/encoder/layer_2/attention/self/query/kernel 10845 10861
bert/encoder/layer_2/attention/self/query/bias 10864 10873
bert/encoder/layer_2/attention/self/key/kernel 10875 10891
bert/encoder/layer_2/attention/self/key/bias 10893 10902
bert/encoder/layer_2/attention/self/value/kernel 10904 10913
bert/encoder/layer_2/attention/self/value/bias 10916 10928
bert/encoder/layer_2/attention/output/dense/kernel 10931 10942
bert/encoder/layer_2/attention/output/dense/bias 10944 10953
bert/encoder/layer_1/output/LayerNorm/beta 10960 10970
bert/encoder/layer_1/intermediate/dense/kernel 10972 10982
bert/encoder/layer_1/intermediate/dense/bias 10984 10997
bert/encoder/layer_1/output/dense/kernel 11000 11009
bert/encoder/layer_1/output/dense/bias 11012 11023
bert/encoder/layer_1/attention/output/LayerNorm/beta 11029 11039
bert/encoder/layer_1/attention/self/query/kernel 11041 11051
bert/encoder/layer_1/attention/self/query/bias 11053 11067
bert/encoder/layer_1/attention/self/key/kernel 11069 11078
bert/encoder/layer_1/attention/self/key/bias 11081 11090
bert/encoder/layer_1/attention/self/value/kernel 11096 11106
bert/encoder/layer_1/attention/self/value/bias 11108 11117
bert/encoder/layer_1/attention/output/dense/kernel 11119 11135
bert/encoder/layer_1/attention/output/dense/bias 11138 11146
bert/encoder/layer_0/output/LayerNorm/beta 11149 11159
cls/predictions/transform/dense/mul/x 11161 11184
bert/encoder/layer_0/intermediate/dense/kernel 11187 11196
bert/encoder/layer_0/intermediate/dense/bias 11199 11213
ConstantFolding/gradients/bert/encoder/layer_0/intermediate/dense/truediv_grad/RealDiv_recip 11215 11227
bert/encoder/layer_0/output/dense/kernel 11229 11238
bert/encoder/layer_0/output/dense/bias 11241 11254
bert/encoder/layer_0/attention/output/LayerNorm/beta 11257 11266
bert/encoder/layer_0/attention/self/query/kernel 11268 11279
bert/encoder/layer_0/attention/self/query/bias 11284 11293
bert/encoder/layer_0/attention/self/key/kernel 11295 11307
bert/encoder/layer_0/attention/self/key/bias 11309 11322
bert/encoder/layer_11/attention/self/Mul/y 11324 11339
bert/encoder/ones 11342 11351
bert/encoder/Reshape/shape 11357 11365
bert/encoder/layer_11/attention/self/mul_1/y 11368 11376
gradients/bert/encoder/layer_0/attention/self/dropout/div_grad/Shape 11379 11392
bert/encoder/layer_0/attention/self/value/kernel 11396 11406
bert/encoder/layer_0/attention/self/value/bias 11409 11420
gradients/bert/encoder/layer_0/attention/self/Reshape_3_grad/Shape 11422 11444
gradients/bert/encoder/layer_0/attention/self/transpose_grad/InvertPermutation 11447 11475
bert/encoder/layer_0/attention/output/dense/kernel 11477 11492
bert/encoder/layer_0/attention/output/dense/bias 11494 11503
gradients/bert/embeddings/embedding_lookup_grad/concat 11505 11531
ConstantFolding/gradients/bert/embeddings/dropout/div_grad/RealDiv_recip 11535 11557
bert/embeddings/LayerNorm/beta 11560 11574
bert/embeddings/position_embeddings 11576 11602
bert/embeddings/assert_less_equal/All 11604 11613
bert/embeddings/assert_less_equal/x 11615 11622
bert/embeddings/assert_less_equal/y 11624 11635
bert/embeddings/word_embeddings 11638 11647
bert/embeddings/embedding_lookup/axis 11649 11656
cls/predictions/Reshape_1/shape 11658 11670
cls/seq_relationship/one_hot/depth 11673 11680
PolynomialDecay/Cast/x 11683 11691
bert/embeddings/token_type_embeddings 11696 11708
bert/embeddings/LayerNorm/gamma 11710 11721
Mul_1/x 11723 11770
bert/encoder/Reshape_1/shape 11773 11780
bert/encoder/layer_0/attention/output/LayerNorm/gamma 11783 11792
bert/encoder/layer_0/output/LayerNorm/gamma 11795 11808
bert/encoder/layer_1/attention/output/LayerNorm/gamma 11811 11820
bert/encoder/layer_1/output/LayerNorm/gamma 11822 11831
bert/encoder/layer_2/attention/output/LayerNorm/gamma 11837 11846
bert/encoder/layer_2/output/LayerNorm/gamma 11848 11857
bert/encoder/layer_3/attention/output/LayerNorm/gamma 11860 11872
bert/encoder/layer_3/output/LayerNorm/gamma 11875 11884
bert/encoder/layer_4/attention/output/LayerNorm/gamma 11886 11895
bert/encoder/layer_4/output/LayerNorm/gamma 11901 11910
bert/encoder/layer_5/attention/output/LayerNorm/gamma 11912 11921
bert/encoder/layer_5/output/LayerNorm/gamma 11923 11937
bert/encoder/layer_6/attention/output/LayerNorm/gamma 11939 11948
bert/encoder/layer_6/output/LayerNorm/gamma 11950 11959
bert/encoder/layer_7/attention/output/LayerNorm/gamma 11961 11975
bert/encoder/layer_7/output/LayerNorm/gamma 11978 11986
bert/encoder/layer_8/attention/output/LayerNorm/gamma 11989 12002
bert/encoder/layer_8/output/LayerNorm/gamma 12004 12013
bert/encoder/layer_9/attention/output/LayerNorm/gamma 12015 12024
bert/encoder/layer_9/output/LayerNorm/gamma 12026 12039
bert/encoder/layer_10/attention/output/LayerNorm/gamma 12041 12050
bert/encoder/layer_10/output/LayerNorm/gamma 12055 12064
bert/encoder/layer_11/attention/output/LayerNorm/gamma 12070 12079
cls/predictions/transform/LayerNorm/batchnorm/add/y 12082 12095
bert/encoder/layer_11/output/LayerNorm/gamma 12097 12110
gradients/bert/embeddings/LayerNorm/moments/SquaredDifference_grad/Shape 12112 12121
bert/pooler/strided_slice/stack 12123 12130
bert/pooler/strided_slice/stack_1 12136 12143
bert/pooler/strided_slice/stack_2 12145 12151
bert/pooler/dense/kernel 12153 12178
bert/pooler/dense/bias 12180 12191
cls/seq_relationship/output_weights 12193 12202
cls/seq_relationship/output_bias 12204 12219
bert/embeddings/word_embeddings/adam_m/read 12221 12236
bert/encoder/layer_1/output/dense/kernel/adam_m/read 12240 12253
bert/encoder/layer_1/output/dense/kernel/adam_v/read 12257 12265
bert/encoder/layer_1/output/dense/bias/adam_m/read 12269 12277
bert/encoder/layer_1/output/dense/bias/adam_v/read 12280 12293
bert/encoder/layer_1/output/LayerNorm/beta/adam_m/read 12296 12304
bert/encoder/layer_1/output/LayerNorm/beta/adam_v/read 12308 12320
bert/encoder/layer_1/output/LayerNorm/gamma/adam_m/read 12323 12331
bert/encoder/layer_1/output/LayerNorm/gamma/adam_v/read 12335 12342
bert/encoder/layer_2/attention/self/query/kernel/adam_m/read 12347 12358
bert/encoder/layer_2/attention/self/query/kernel/adam_v/read 12361 12369
bert/encoder/layer_2/attention/self/query/bias/adam_m/read 12373 12387
bert/encoder/layer_2/attention/self/query/bias/adam_v/read 12391 12399
bert/encoder/layer_2/attention/self/key/kernel/adam_m/read 12402 12410
bert/encoder/layer_2/attention/self/key/kernel/adam_v/read 12417 12425
bert/encoder/layer_2/attention/self/key/bias/adam_m/read 12428 12436
bert/encoder/layer_2/attention/self/key/bias/adam_v/read 12440 12451
bert/encoder/layer_2/attention/self/value/kernel/adam_m/read 12454 12462
bert/encoder/layer_2/attention/self/value/kernel/adam_v/read 12465 12477
bert/encoder/layer_2/attention/self/value/bias/adam_m/read 12480 12489
bert/encoder/layer_2/attention/self/value/bias/adam_v/read 12492 12500
bert/embeddings/LayerNorm/gamma/adam_m/read 12507 12516
bert/encoder/layer_2/attention/output/dense/kernel/adam_m/read 12519 12527
bert/encoder/layer_2/attention/output/dense/kernel/adam_v/read 12531 12543
bert/encoder/layer_2/attention/output/dense/bias/adam_m/read 12546 12554
bert/encoder/layer_2/attention/output/dense/bias/adam_v/read 12557 12565
bert/encoder/layer_2/attention/output/LayerNorm/beta/adam_m/read 12572 12580
bert/encoder/layer_2/attention/output/LayerNorm/beta/adam_v/read 12583 12590
bert/encoder/layer_2/attention/output/LayerNorm/gamma/adam_m/read 12594 12606
bert/embeddings/LayerNorm/gamma/adam_v/read 12609 12617
bert/encoder/layer_2/attention/output/LayerNorm/gamma/adam_v/read 12620 12632
bert/encoder/layer_2/intermediate/dense/kernel/adam_m/read 12635 12644
bert/encoder/layer_2/intermediate/dense/kernel/adam_v/read 12647 12655
bert/encoder/layer_2/intermediate/dense/bias/adam_m/read 12663 12672
bert/encoder/layer_2/intermediate/dense/bias/adam_v/read 12675 12683
bert/encoder/layer_2/output/dense/kernel/adam_m/read 12686 12699
bert/encoder/layer_2/output/dense/kernel/adam_v/read 12702 12710
bert/encoder/layer_2/output/dense/bias/adam_m/read 12714 12722
bert/encoder/layer_2/output/dense/bias/adam_v/read 12729 12737
bert/encoder/layer_2/output/LayerNorm/beta/adam_m/read 12740 12749
bert/encoder/layer_2/output/LayerNorm/beta/adam_v/read 12752 12764
bert/encoder/layer_2/output/LayerNorm/gamma/adam_m/read 12767 12776
bert/encoder/layer_2/output/LayerNorm/gamma/adam_v/read 12778 12786
bert/encoder/layer_0/attention/self/query/kernel/adam_m/read 12793 12801
bert/encoder/layer_3/attention/self/query/kernel/adam_m/read 12804 12812
bert/encoder/layer_3/attention/self/query/kernel/adam_v/read 12816 12828
bert/encoder/layer_3/attention/self/query/bias/adam_m/read 12831 12839
bert/encoder/layer_3/attention/self/query/bias/adam_v/read 12842 12854
bert/encoder/layer_3/attention/self/key/kernel/adam_m/read 12857 12866
bert/encoder/layer_3/attention/self/key/kernel/adam_v/read 12869 12876
bert/encoder/layer_3/attention/self/key/bias/adam_m/read 12883 12891
bert/encoder/layer_0/attention/self/query/kernel/adam_v/read 12895 12902
bert/encoder/layer_3/attention/self/key/bias/adam_v/read 12906 12917
bert/encoder/layer_3/attention/self/value/kernel/adam_m/read 12920 12928
bert/encoder/layer_3/attention/self/value/kernel/adam_v/read 12931 12943
bert/encoder/layer_3/attention/self/value/bias/adam_m/read 12946 12955
